time	I(CL)+I(RL)
7.736383024466867e-04	5.994812e-02
7.737383024466867e-04	5.994813e-02
7.738383024466866e-04	5.994814e-02
7.739383024466866e-04	5.994815e-02
7.740383024466865e-04	5.994816e-02
7.741383024466865e-04	5.994817e-02
7.742383024466864e-04	5.994818e-02
7.743383024466864e-04	5.994820e-02
7.744383024466863e-04	5.994821e-02
7.745383024466863e-04	5.994822e-02
7.746383024466862e-04	5.994823e-02
7.747383024466862e-04	5.994824e-02
7.748383024466861e-04	5.994826e-02
7.749383024466860e-04	5.994827e-02
7.750383024466860e-04	5.994828e-02
7.751383024466859e-04	5.994829e-02
7.752383024466859e-04	5.994831e-02
7.753383024466858e-04	5.994832e-02
7.754383024466858e-04	5.994833e-02
7.755383024466857e-04	5.994834e-02
7.756383024466857e-04	5.994835e-02
7.757383024466856e-04	5.994836e-02
7.758383024466856e-04	5.994837e-02
7.759383024466855e-04	5.994839e-02
7.760383024466855e-04	5.994840e-02
7.761383024466854e-04	5.994841e-02
7.762383024466854e-04	5.994842e-02
7.763383024466853e-04	5.994843e-02
7.764383024466853e-04	5.994844e-02
7.765383024466852e-04	5.994845e-02
7.766383024466852e-04	5.994847e-02
7.767383024466851e-04	5.994848e-02
7.768383024466851e-04	5.994849e-02
7.769383024466850e-04	5.994850e-02
7.770383024466850e-04	5.994851e-02
7.771383024466849e-04	5.994852e-02
7.772383024466849e-04	5.994854e-02
7.773383024466848e-04	5.994855e-02
7.774383024466848e-04	5.994856e-02
7.775383024466847e-04	5.994857e-02
7.776383024466847e-04	5.994858e-02
7.777383024466846e-04	5.994860e-02
7.778383024466845e-04	5.994861e-02
7.779383024466845e-04	5.994862e-02
7.780383024466844e-04	5.994863e-02
7.781383024466844e-04	5.994864e-02
7.782383024466843e-04	5.994865e-02
7.783383024466843e-04	5.994867e-02
7.784383024466842e-04	5.994868e-02
7.785383024466842e-04	5.994869e-02
7.786383024466841e-04	5.994870e-02
7.787383024466841e-04	5.994871e-02
7.788383024466840e-04	5.994872e-02
7.789383024466840e-04	5.994873e-02
7.790383024466839e-04	5.994875e-02
7.791383024466839e-04	5.994876e-02
7.792383024466838e-04	5.994877e-02
7.793383024466838e-04	5.994878e-02
7.794383024466837e-04	5.994879e-02
7.795383024466837e-04	5.994880e-02
7.796383024466836e-04	5.994881e-02
7.797383024466836e-04	5.994883e-02
7.798383024466835e-04	5.994884e-02
7.799383024466835e-04	5.994885e-02
7.800383024466834e-04	5.994886e-02
7.801383024466834e-04	5.994888e-02
7.802383024466833e-04	5.994889e-02
7.803383024466833e-04	5.994890e-02
7.804383024466832e-04	5.994891e-02
7.805383024466831e-04	5.994892e-02
7.806383024466831e-04	5.994893e-02
7.807383024466830e-04	5.994894e-02
7.808383024466830e-04	5.994895e-02
7.809383024466829e-04	5.994897e-02
7.810383024466829e-04	5.994898e-02
7.811383024466828e-04	5.994899e-02
7.812383024466828e-04	5.994900e-02
7.813383024466827e-04	5.994901e-02
7.814383024466827e-04	5.994902e-02
