time	I(CL)+I(RL)
1.874277989730076e-03	-5.887032e-02
1.874377989730076e-03	-5.887028e-02
1.874477989730076e-03	-5.887026e-02
1.874577989730076e-03	-5.887023e-02
1.874677989730076e-03	-5.887019e-02
1.874777989730076e-03	-5.887016e-02
1.874877989730076e-03	-5.887013e-02
1.874977989730076e-03	-5.887010e-02
1.875077989730076e-03	-5.887007e-02
1.875177989730076e-03	-5.887004e-02
1.875277989730076e-03	-5.887001e-02
1.875377989730076e-03	-5.886998e-02
1.875477989730077e-03	-5.886995e-02
1.875577989730077e-03	-5.886992e-02
1.875677989730077e-03	-5.886989e-02
1.875777989730077e-03	-5.886986e-02
1.875877989730077e-03	-5.886983e-02
1.875977989730077e-03	-5.886980e-02
1.876077989730077e-03	-5.886977e-02
1.876177989730077e-03	-5.886974e-02
1.876277989730077e-03	-5.886971e-02
1.876377989730077e-03	-5.886968e-02
1.876477989730077e-03	-5.886964e-02
1.876577989730077e-03	-5.886961e-02
1.876677989730077e-03	-5.886958e-02
1.876777989730077e-03	-5.886955e-02
1.876877989730077e-03	-5.886952e-02
1.876977989730077e-03	-5.886949e-02
1.877077989730077e-03	-5.886946e-02
1.877177989730077e-03	-5.886943e-02
1.877277989730078e-03	-5.886940e-02
1.877377989730078e-03	-5.886937e-02
1.877477989730078e-03	-5.886934e-02
1.877577989730078e-03	-5.886931e-02
1.877677989730078e-03	-5.886928e-02
1.877777989730078e-03	-5.886925e-02
1.877877989730078e-03	-5.886922e-02
1.877977989730078e-03	-5.886919e-02
1.878077989730078e-03	-5.886916e-02
1.878177989730078e-03	-5.886913e-02
1.878277989730078e-03	-5.886910e-02
1.878377989730078e-03	-5.886907e-02
1.878477989730078e-03	-5.886904e-02
1.878577989730078e-03	-5.886901e-02
1.878677989730078e-03	-5.886898e-02
1.878777989730078e-03	-5.886895e-02
1.878877989730078e-03	-5.886892e-02
1.878977989730078e-03	-5.886889e-02
1.879077989730079e-03	-5.886886e-02
1.879177989730079e-03	-5.886882e-02
1.879277989730079e-03	-5.886879e-02
1.879377989730079e-03	-5.886876e-02
1.879477989730079e-03	-5.886873e-02
1.879577989730079e-03	-5.886870e-02
1.879677989730079e-03	-5.886867e-02
1.879777989730079e-03	-5.886864e-02
1.879877989730079e-03	-5.886861e-02
1.879977989730079e-03	-5.886858e-02
1.880077989730079e-03	-5.886855e-02
1.880177989730079e-03	-5.886852e-02
1.880277989730079e-03	-5.886849e-02
1.880377989730079e-03	-5.886846e-02
1.880477989730079e-03	-5.886843e-02
1.880577989730079e-03	-5.886840e-02
1.880677989730079e-03	-5.886837e-02
1.880777989730080e-03	-5.886834e-02
1.880877989730080e-03	-5.886831e-02
1.880977989730080e-03	-5.886828e-02
1.881077989730080e-03	-5.886825e-02
1.881177989730080e-03	-5.886822e-02
