time	V(vout)
1.734066079462757e-03	-2.499539e+00
1.734166079462757e-03	-2.499539e+00
1.734266079462757e-03	-2.499539e+00
1.734366079462757e-03	-2.499539e+00
1.734466079462757e-03	-2.499539e+00
1.734566079462757e-03	-2.499539e+00
1.734666079462757e-03	-2.499539e+00
1.734766079462757e-03	-2.499539e+00
1.734866079462757e-03	-2.499539e+00
1.734966079462757e-03	-2.499539e+00
1.735066079462757e-03	-2.499539e+00
1.735166079462757e-03	-2.499539e+00
1.735266079462757e-03	-2.499539e+00
1.735366079462757e-03	-2.499539e+00
1.735466079462757e-03	-2.499539e+00
1.735566079462757e-03	-2.499539e+00
1.735666079462757e-03	-2.499539e+00
1.735766079462757e-03	-2.499539e+00
1.735866079462758e-03	-2.499539e+00
1.735966079462758e-03	-2.499539e+00
1.736066079462758e-03	-2.499539e+00
1.736166079462758e-03	-2.499539e+00
1.736266079462758e-03	-2.499539e+00
1.736366079462758e-03	-2.499539e+00
1.736466079462758e-03	-2.499539e+00
1.736566079462758e-03	-2.499539e+00
1.736666079462758e-03	-2.499539e+00
1.736766079462758e-03	-2.499539e+00
1.736866079462758e-03	-2.499539e+00
1.736966079462758e-03	-2.499539e+00
1.737066079462758e-03	-2.499539e+00
1.737166079462758e-03	-2.499539e+00
1.737266079462758e-03	-2.499539e+00
1.737366079462758e-03	-2.499539e+00
1.737466079462758e-03	-2.499539e+00
1.737566079462758e-03	-2.499539e+00
1.737666079462759e-03	-2.499539e+00
1.737766079462759e-03	-2.499539e+00
1.737866079462759e-03	-2.499539e+00
1.737966079462759e-03	-2.499539e+00
1.738066079462759e-03	-2.499539e+00
1.738166079462759e-03	-2.499539e+00
1.738266079462759e-03	-2.499539e+00
1.738366079462759e-03	-2.499539e+00
1.738466079462759e-03	-2.499539e+00
1.738566079462759e-03	-2.499539e+00
1.738666079462759e-03	-2.499539e+00
1.738766079462759e-03	-2.499539e+00
1.738866079462759e-03	-2.499539e+00
1.738966079462759e-03	-2.499539e+00
1.739066079462759e-03	-2.499539e+00
1.739166079462759e-03	-2.499539e+00
1.739266079462759e-03	-2.499539e+00
1.739366079462760e-03	-2.499539e+00
1.739466079462760e-03	-2.499539e+00
1.739566079462760e-03	-2.499539e+00
1.739666079462760e-03	-2.499539e+00
1.739766079462760e-03	-2.499539e+00
1.739866079462760e-03	-2.499539e+00
1.739966079462760e-03	-2.499539e+00
1.740066079462760e-03	-2.499539e+00
1.740166079462760e-03	-2.499539e+00
1.740266079462760e-03	-2.499539e+00
1.740366079462760e-03	-2.499539e+00
1.740466079462760e-03	-2.499539e+00
1.740566079462760e-03	-2.499539e+00
1.740666079462760e-03	-2.499539e+00
1.740766079462760e-03	-2.499539e+00
1.740866079462760e-03	-2.499539e+00
1.740966079462760e-03	-2.499539e+00
1.741066079462760e-03	-2.499539e+00
1.741166079462761e-03	-2.499539e+00
1.741266079462761e-03	-2.499539e+00
1.741366079462761e-03	-2.499539e+00
1.741466079462761e-03	-2.499539e+00
1.741566079462761e-03	-2.499539e+00
1.741666079462761e-03	-2.499539e+00
1.741766079462761e-03	-2.499539e+00
1.741866079462761e-03	-2.499539e+00
1.741966079462761e-03	-2.499539e+00
1.742066079462761e-03	-2.499539e+00
1.742166079462761e-03	-2.499539e+00
1.742266079462761e-03	-2.499539e+00
1.742366079462761e-03	-2.499539e+00
1.742466079462761e-03	-2.499539e+00
1.742566079462761e-03	-2.499539e+00
1.742666079462761e-03	-2.499539e+00
1.742766079462761e-03	-2.499539e+00
1.742866079462761e-03	-2.499539e+00
1.742966079462762e-03	-2.499539e+00
1.743066079462762e-03	-2.499539e+00
1.743166079462762e-03	-2.499539e+00
1.743266079462762e-03	-2.499539e+00
1.743366079462762e-03	-2.499539e+00
1.743466079462762e-03	-2.499539e+00
1.743566079462762e-03	-2.499539e+00
1.743666079462762e-03	-2.499539e+00
1.743766079462762e-03	-2.499539e+00
1.743866079462762e-03	-2.499539e+00
1.743966079462762e-03	-2.499539e+00
1.744066079462762e-03	-2.499539e+00
1.744166079462762e-03	-2.499539e+00
1.744266079462762e-03	-2.499539e+00
1.744366079462762e-03	-2.499539e+00
1.744466079462762e-03	-2.499539e+00
1.744566079462762e-03	-2.499539e+00
1.744666079462763e-03	-2.499539e+00
1.744766079462763e-03	-2.499539e+00
1.744866079462763e-03	-2.499539e+00
1.744966079462763e-03	-2.499539e+00
1.745066079462763e-03	-2.499539e+00
1.745166079462763e-03	-2.499539e+00
1.745266079462763e-03	-2.499539e+00
1.745366079462763e-03	-2.499539e+00
1.745466079462763e-03	-2.499539e+00
1.745566079462763e-03	-2.499539e+00
1.745666079462763e-03	-2.499539e+00
1.745766079462763e-03	-2.499539e+00
1.745866079462763e-03	-2.499539e+00
1.745966079462763e-03	-2.499539e+00
1.746066079462763e-03	-2.499539e+00
1.746166079462763e-03	-2.499539e+00
1.746266079462763e-03	-2.499539e+00
1.746366079462763e-03	-2.499539e+00
1.746466079462764e-03	-2.499539e+00
1.746566079462764e-03	-2.499539e+00
1.746666079462764e-03	-2.499539e+00
1.746766079462764e-03	-2.499539e+00
1.746866079462764e-03	-2.499539e+00
1.746966079462764e-03	-2.499539e+00
1.747066079462764e-03	-2.499539e+00
1.747166079462764e-03	-2.499539e+00
1.747266079462764e-03	-2.499539e+00
1.747366079462764e-03	-2.499539e+00
1.747466079462764e-03	-2.499539e+00
1.747566079462764e-03	-2.499539e+00
1.747666079462764e-03	-2.499539e+00
