Freq.	-V(Vr)/V(Vf)
Step Information: Cl=400p  (Step: 1/15)
1.26191468896039e+06	(1.06889883846779e+01dB,-1.15223833650835e+02°)
1.58865646944857e+06	(8.24806339686372e+00dB,-1.15484300832920e+02°)
2.00000000000001e+06	(5.86871688368575e+00dB,-1.16347939985259e+02°)
2.51785082358834e+06	(3.51149862694426e+00dB,-1.18056611261790e+02°)
3.16978638492224e+06	(1.12840021233029e+00dB,-1.20752134552138e+02°)
3.99052462993777e+06	(-1.33314642572906e+00dB,-1.24474314039262e+02°)
5.02377286301918e+06	(-3.92631282726983e+00dB,-1.29151221248303e+02°)
6.32455532033678e+06	(-6.69822208570057e+00dB,-1.34592478742608e+02°)
7.96214341106997e+06	(-9.68067925907292e+00dB,-1.40512001941783e+02°)
1.00237446725455e+07	(-1.28823186019854e+01dB,-1.46599888728231e+02°)
1.26191468896039e+07	(-1.62871484784225e+01dB,-1.52634296406887e+02°)
1.58865646944857e+07	(-1.98596345266298e+01dB,-1.58605375443982e+02°)
2.00000000000001e+07	(-2.35486832257907e+01dB,-1.64845352544946e+02°)
2.51785082358834e+07	(-2.72739956979463e+01dB,-1.72194953557948e+02°)
3.16978638492224e+07	(-3.08592066074755e+01dB,1.77841131672439e+02°)
3.99052462993777e+07	(-3.38639296078111e+01dB,1.63611466813864e+02°)
5.02377286301918e+07	(-3.55299592633660e+01dB,1.46280193156411e+02°)
6.32455532033678e+07	(-3.55470627623615e+01dB,1.32297984680245e+02°)
7.96214341106997e+07	(-3.45997147655695e+01dB,1.28208018950806e+02°)
1.00000000000000e+08	(-3.36643269284088e+01dB,1.44249578929141e+02°)
Step Information: Cl=600p  (Step: 2/15)
2.00000000000000e+01	(1.11728009282797e+02dB,-8.96208674452971e+01°)
2.51785082358833e+01	(1.09728080020253e+02dB,-8.96995499976289e+01°)
3.16978638492223e+01	(1.07728124649003e+02dB,-8.97622337173477e+01°)
3.99052462993776e+01	(1.05728152801593e+02dB,-8.98122561593604e+01°)
5.02377286301916e+01	(1.03728170554456e+02dB,-8.98522808563465e+01°)
6.32455532033676e+01	(1.01728181739378e+02dB,-8.98844391265965e+01°)
7.96214341106995e+01	(9.97281887706611e+01dB,-8.99104434416471e+01°)
1.00237446725454e+02	(9.77281931659756e+01dB,-8.99316785820532e+01°)
1.26191468896039e+02	(9.57281958740040e+01dB,-8.99492753761683e+01°)
1.58865646944856e+02	(9.37281974792953e+01dB,-8.99641709098706e+01°)
2.00000000000000e+02	(9.17281983284053e+01dB,-8.99771584172824e+01°)
2.51785082358834e+02	(8.97281986045824e+01dB,-8.99889295288806e+01°)
3.16978638492223e+02	(8.77281983673716e+01dB,-9.00001110975986e+01°)
3.99052462993776e+02	(8.57281975657085e+01dB,-9.00112985808242e+01°)
5.02377286301916e+02	(8.37281960264079e+01dB,-9.00230877483145e+01°)
6.32455532033676e+02	(8.17281934173344e+01dB,-9.00361064100117e+01°)
7.96214341106995e+02	(7.97281891752086e+01dB,-9.00510478448325e+01°)
1.00237446725455e+03	(7.77281823844854e+01dB,-9.00687077141478e+01°)
1.26191468896039e+03	(7.57281715793255e+01dB,-9.00900264199040e+01°)
1.58865646944856e+03	(7.37281544275199e+01dB,-9.01161391624602e+01°)
2.00000000000000e+03	(7.17281272270638e+01dB,-9.01484363427951e+01°)
2.51785082358834e+03	(6.97280841071379e+01dB,-9.01886375096807e+01°)
3.16978638492223e+03	(6.77280157612797e+01dB,-9.02388827354320e+01°)
3.99052462993776e+03	(6.57279074398166e+01dB,-9.03018461928224e+01°)
5.02377286301917e+03	(6.37277357682590e+01dB,-9.03808777855760e+01°)
6.32455532033677e+03	(6.17274637082730e+01dB,-9.04801799904082e+01°)
7.96214341106996e+03	(5.97270325784952e+01dB,-9.06050285565075e+01°)
1.00237446725455e+04	(5.77263494272015e+01dB,-9.07620472836199e+01°)
1.26191468896039e+04	(5.57252670663945e+01dB,-9.09595484556092e+01°)
1.58865646944857e+04	(5.37235525470380e+01dB,-9.12079509883065e+01°)
2.00000000000000e+04	(5.17208374931574e+01dB,-9.15202865071760e+01°)
2.51785082358834e+04	(4.97165401296392e+01dB,-9.19127964673535e+01°)
3.16978638492223e+04	(4.77097435608263e+01dB,-9.24056051964066e+01°)
3.99052462993777e+04	(4.56990074616788e+01dB,-9.30234131081437e+01°)
5.02377286301917e+04	(4.36820809994732e+01dB,-9.37960705157288e+01°)
6.32455532033677e+04	(4.16554756113197e+01dB,-9.47587296838131e+01°)
7.96214341106996e+04	(3.96138546028066e+01dB,-9.59509768838311e+01°)
1.00237446725455e+05	(3.75492217989799e+01dB,-9.74138581187908e+01°)
1.26191468896039e+05	(3.54499858972927e+01dB,-9.91830399511742e+01°)
1.58865646944857e+05	(3.33002125405995e+01dB,-1.01275785601421e+02°)
2.00000000000000e+05	(3.10798202499615e+01dB,-1.03670009383992e+02°)
2.51785082358834e+05	(2.87670335571100e+01dB,-1.06277571777874e+02°)
3.16978638492223e+05	(2.63444856097134e+01dB,-1.08923346749770e+02°)
3.99052462993777e+05	(2.38087724642365e+01dB,-1.11353353917542e+02°)
5.02377286301917e+05	(2.11794863246646e+01dB,-1.13294769859566e+02°)
6.32455532033677e+05	(1.85005272787885e+01dB,-1.14561099245145e+02°)
7.96214341106997e+05	(1.58290199362091e+01dB,-1.15150110391564e+02°)
1.00237446725455e+06	(1.32159039339995e+01dB,-1.15269393372226e+02°)
1.26191468896039e+06	(1.06891874337670e+01dB,-1.15271366451163e+02°)
1.58865646944857e+06	(8.24832862276577e+00dB,-1.15544230968923e+02°)
2.00000000000001e+06	(5.86908388744978e+00dB,-1.16423464705597e+02°)
2.51785082358834e+06	(3.51202515525135e+00dB,-1.18151757263381e+02°)
3.16978638492224e+06	(1.12917924360586e+00dB,-1.20871974306796e+02°)
3.99052462993777e+06	(-1.33196524937086e+00dB,-1.24625238118275e+02°)
5.02377286301918e+06	(-3.92448756326182e+00dB,-1.29341281372915e+02°)
6.32455532033678e+06	(-6.69535791305334e+00dB,-1.34831818726691e+02°)
7.96214341106997e+06	(-9.67612224782601e+00dB,-1.40813392451570e+02°)
1.00237446725455e+07	(-1.28749617095195e+01dB,-1.46979363784873e+02°)
1.26191468896039e+07	(-1.62750599276424e+01dB,-1.53111804422949e+02°)
1.58865646944857e+07	(-1.98393111173409e+01dB,-1.59205008677901e+02°)
2.00000000000001e+07	(-2.35135032451305e+01dB,-1.65593328325205e+02°)
2.51785082358834e+07	(-2.72111213677272e+01dB,-1.73108148771514e+02°)
3.16978638492224e+07	(-3.07449736658717e+01dB,1.76800667504916e+02°)
3.99052462993777e+07	(-3.36664937604941e+01dB,1.62658189632832e+02°)
5.02377286301918e+07	(-3.52401951560976e+01dB,1.45877186406527e+02°)
6.32455532033678e+07	(-3.51765855356301e+01dB,1.32964665444380e+02°)
7.96214341106997e+07	(-3.40614913368935e+01dB,1.31576411709844e+02°)
1.00000000000000e+08	(-3.24160111884144e+01dB,1.67842294610875e+02°)
Step Information: Cl=1n  (Step: 3/15)
2.00000000000000e+01	(1.11728009282801e+02dB,-8.96208688977949e+01°)
2.51785082358833e+01	(1.09728080020244e+02dB,-8.96995518101369e+01°)
3.16978638492223e+01	(1.07728124649009e+02dB,-8.97622360221191e+01°)
3.99052462993776e+01	(1.05728152801592e+02dB,-8.98122590448261e+01°)
